"song" "mix" "expert" "chal" "bpm_min" "bpm_max" "static_bpm" "gSP" "BSP" "DSP" "ESP" "CSP" "event" "gold"
"SABER WING (satellite silhouette remix)" "2014" 1 1 138 138 138 2 4 9 12 15 0 0
"Sakura Mirage" "2014" 1 0 187 187 187 4 7 11 14 NA 0 0
"Samurai Shogun vs. Master Ninja" "2014" 1 0 260 260 260 3 7 12 14 NA 0 0
"Sand Blow" "2014" 1 0 83 165 0 3 7 12 15 NA 0 0
"Scarlet Moon" "2014" 1 0 180 180 180 2 5 9 12 NA 0 0
"second spring storm" "2014" 1 0 131 131 131 2 6 9 14 NA 0 0
"Setsuna Trip" "2014" 1 0 145 145 145 1 4 10 14 NA 0 0
"Shakunetsu Beach Side Bunny" "2014" 1 0 153 153 153 3 7 11 15 18 0 0
"Shikkoku no special princess sundae" "2014" 1 0 200 200 200 4 8 11 13 NA 0 0
"SPECIAL SUMMER CAMPAIGN!" "2014" 1 0 168 168 168 2 7 11 15 NA 0 0
"Squeeze" "2014" 1 0 86 173 0 4 6 9 15 NA 0 0
"Starlight Fantasia" "2014" 1 0 148 148 148 3 7 11 14 NA 0 0
"Starlight Fantasia (Endorphins Mix)" "2014" 1 0 77 155 0 3 8 12 15 NA 0 0
"starmine" "2014" 1 1 182 182 182 3 7 11 15 17 0 0
"Stella Sinistra" "2014" 1 0 110 180 0 4 8 12 15 NA 0 0
"Struggle" "2014" 1 0 180 180 180 4 6 10 13 NA 0 0
"SUMMER DIARY -DDR mix-" "2014" 1 0 160 160 160 3 7 10 14 NA 0 0
"Summer fantasy (Darwin remix)" "2014" 1 1 178 178 178 2 7 10 13 11 0 0
"SUPER HERO" "2014" 1 0 180 180 180 4 6 9 12 NA 0 0
"Tenkuu no hana" "2014" 1 0 90 180 0 4 7 12 15 NA 0 0
"Thank You Merry Christmas" "2014" 1 1 220 220 220 3 5 9 12 16 0 0
"The Lonely Streets" "2014" 1 1 115 115 115 2 4 7 11 12 0 0
"Todoroke! Koi no beanball!!" "2014" 1 0 180 180 180 3 7 11 16 NA 0 0
"Totsugeki! Glass no kneeso hime!" "2014" 1 0 185 185 185 4 7 11 14 NA 0 0
"Truare!" "2014" 1 0 183 183 183 3 8 11 16 NA 0 0
"True Blue" "2014" 1 0 164 164 164 3 7 11 16 NA 0 0
"TSUBASA" "2014" 1 0 151 151 151 2 6 10 13 NA 0 0
"VEGA" "2014" 1 0 191 191 191 3 7 11 14 NA 0 0
"Wadatsumi" "2014" 1 0 159 159 159 3 8 12 16 NA 0 0
"Yakyuu no asobikata soshite sono rekishi ~ketteiban~" "2014" 1 0 141 141 141 3 6 9 14 NA 0 0
"Yamato nadenade Kaguya-hime" "2014" 1 1 160 160 160 2 6 8 11 14 0 0
"39" "Removed" 1 0 175 175 175 4 6 8 12 NA 0 0
"ACE FOR ACES" "A" 1 1 100 400 0 4 7 13 15 18 0 0
"Ai kotoba" "Removed" 1 0 137 137 137 3 5 7 11 NA 0 0
"ALGORITHM" "A" 1 1 130 130 130 5 7 11 13 15 0 0
"Alien Alien" "A" 1 0 152 152 152 2 5 9 12 NA 0 0
"ALL MY HEART -kono koi ni, watashi no subete wo kakeru-" "A" 1 0 160 160 160 3 5 9 13 NA 0 0
"Ama no jyaku" "A" 1 0 197 205 0 3 6 10 13 NA 0 0
"Angelic Jelly" "A" 1 0 100 200 0 4 6 11 13 NA 0 0
"ANNIVERSARY" "A" 1 0 180 180 180 4 7 12 16 NA 0 0
"Arifureta sekai seifuku" "Removed" 1 0 150 150 150 3 7 10 14 NA 0 0
"Astrogazer" "A" 1 1 154 154 154 3 7 12 15 18 0 0
"Bad Apple!! feat. nomico" "A" 1 0 138 138 138 3 5 8 12 NA 0 0
"bass 2 bass" "A" 1 0 140 140 140 2 5 9 12 NA 0 0
"Bassdrop freaks" "A" 1 0 179 179 179 3 7 10 13 NA 0 0
"Be a Hero!" "A" 1 0 190 190 190 7 9 13 17 NA 0 0
"Believe" "Removed" 1 0 128 128 128 2 4 9 11 NA 0 0
"Boss Rush" "A" 1 0 95 190 0 4 10 14 16 NA 0 0
"Break Free" "Removed" 1 0 130 130 130 3 6 9 11 NA 0 0
"Buraikku jikorizer" "A" 1 1 150 150 150 1 4 8 13 15 0 0
"Catch Our Fire!" "A" 1 0 190 192 190 5 10 13 17 NA 0 0
"CHAOS Terror-Tech Mix" "A" 1 1 165 165 165 5 8 12 15 17 0 0
"CHOCOLATE PHILOSOPHY" "A" 1 1 110 110 110 2 4 8 9 12 0 0
"Chronos (walk with you remix)" "A" 1 0 74 148 0 3 7 10 14 NA 0 0
"Cirno's Perfect Math Class" "A" 1 1 175 176 175 3 6 10 13 15 0 0
"Cirno's Perfect Math Class (EDM REMIX)" "A" 1 0 130 175 0 1 4 10 13 NA 0 0
"Come to Life" "A" 1 1 90 180 0 4 8 12 16 18 0 0
"Cosy Catastrophe" "A" 1 1 90 360 0 6 9 13 16 18 0 0
"Cytokinesis" "A" 1 0 111 282 0 4 8 10 14 NA 0 0
"Dadadadadadadadadada" "A" 1 1 156 156 156 2 5 11 13 16 0 0
"DANCE ALL NIGHT (DDR EDITION)" "A" 1 0 144 144 144 1 5 8 10 NA 0 0
"Dancer in the flare" "A" 1 0 132 132 132 3 6 10 13 NA 0 0
"DDR MEGAMIX" "A" 1 1 65 332 0 6 8 13 15 16 0 0
"Determination" "A" 1 0 230 230 230 2 5 8 14 NA 0 0
"DREAMING-ING!!" "A" 1 0 180 180 180 3 6 10 12 NA 0 0
"EDM jumpers" "A" 1 0 72 145 0 3 5 8 12 NA 0 0
"Electric Dance System Music" "A" 1 0 140 140 140 2 5 10 14 NA 0 0
"Emera" "A" 1 1 161 161 161 3 6 11 15 17 0 0
"ENDYMION" "A" 1 1 110 880 0 9 13 15 18 19 0 0
"Eternal Summer" "A" 1 0 145 145 145 2 6 9 13 NA 0 0
"Exciting!! Mo-cha-cha" "A" 1 0 187 187 187 4 8 11 13 NA 0 0
"Far east nightbird" "A" 1 0 180 180 180 4 6 10 12 NA 0 0
"Far east nightbird kors k Remix -DDR edit ver-" "A" 1 0 175 175 175 3 7 11 13 NA 0 0
"First Time" "A" 1 1 70 560 0 4 7 11 15 18 0 0
"Fly far bounce" "A" 1 0 98 173 0 3 6 10 13 NA 0 0
"Fuurin hanabi" "A" 1 0 150 150 150 2 5 8 10 NA 0 0
"Grand Chariot" "A" 1 0 191 191 191 3 7 11 13 NA 0 0
"Grip & Break down !!" "A" 1 1 160 160 160 3 6 9 12 16 0 0
"Ha-lle-lu-jah" "A" 1 0 150 150 150 1 5 9 12 NA 0 0
"HANDS UP IN THE AIR" "A" 1 0 128 128 128 1 5 9 13 NA 0 0
"Happy" "Removed" 1 0 160 160 160 3 5 9 12 NA 0 0
"Happy koi lovely time!!" "A" 1 0 139 139 139 2 5 8 11 NA 0 0
"Happy synthesizer" "A" 1 0 127 127 127 2 5 9 13 NA 0 0
"Haru ichiban" "A" 1 0 180 180 180 4 6 7 11 NA 0 0
"Hatsune Miku no shoushitsu" "A" 1 1 240 240 240 3 8 10 13 15 0 0
"Hello, planet" "Removed" 1 0 150 150 150 3 7 9 13 NA 0 0
"Help me, ERINNNNNN!!" "A" 1 0 183 183 183 4 5 9 12 NA 0 0
"High School Love" "A" 1 0 180 180 180 3 6 10 13 NA 0 0
"Hillbilly Shoes" "Removed" 1 0 112 121 116 3 5 8 13 NA 0 0
"Himawari sunset" "A" 1 0 135 135 135 3 5 10 13 NA 0 0
"Hopeful" "A" 1 1 146 146 146 2 5 10 13 15 0 0
"Houkago stride" "Removed" 1 0 225 227 225 3 5 10 15 NA 0 0
"I Want You To Know" "Removed" 1 0 127 136 130 1 3 8 11 NA 0 0
"Illegal Function Call" "A" 1 0 130 260 0 4 10 13 16 NA 0 0
"IN BETWEEN" "A" 1 0 160 160 160 4 7 12 15 NA 0 0
"invisible rain" "A" 1 0 58 97 0 2 4 7 11 NA 0 0
"Iro wa nio e do chirinuru wo" "A" 1 0 138 138 138 3 5 8 11 NA 0 0
"Ishtar" "A" 1 1 156 156 156 3 5 11 14 16 0 0
"Jewelry days" "A" 1 0 179 179 179 3 6 9 12 NA 0 0
"Juuniseiza no seiiki" "A" 1 0 164 164 164 3 6 10 13 NA 0 0
"Koi no puzzle magic" "A" 1 0 140 140 140 3 6 9 11 NA 0 0
"Koishigure" "A" 1 0 185 185 185 3 7 9 12 NA 0 0
"Koisuru uchuu sensou!!" "A" 1 1 200 200 200 4 7 12 14 17 0 0
"Kono aozora no shita de" "A" 1 0 165 165 165 3 6 9 11 NA 0 0
"Kunshi ayauku mo chikou yore" "A" 1 0 162 162 162 3 6 10 12 NA 0 0
"Kuranogawa ondo" "A" 1 0 113 113 113 2 5 7 11 NA 0 0
"Kurokami midareshi shura to narite ~Rin edition~" "A" 1 0 150 150 150 3 6 10 14 NA 0 0
"Kyun kyun bakkyun LOVE" "A" 1 0 165 165 165 3 5 8 11 NA 0 0
"Life is beautiful" "A" 1 0 155 155 155 5 8 12 16 NA 0 0
"Lost one no goukoku" "A" 1 1 162 162 162 3 6 10 12 15 0 0
"Love Shine wonderful mix" "A" 1 1 177 177 177 3 5 8 11 14 0 0
"Love You More" "A" 1 0 175 175 175 3 9 12 16 NA 0 0
"Luminous days" "A" 1 0 145 145 145 2 5 8 12 NA 0 0
"Mahou no tamago ~Cocona ELECTRO POP edition~" "A" 1 0 141 142 141 3 4 8 11 NA 0 0
"MAKE A JAM!" "A" 1 0 124 124 124 2 5 7 9 NA 0 0
"Marisa wa taihen na mono wo nusunde ikimashita" "A" 1 0 170 170 170 3 6 9 12 NA 0 0
"MAX 360" "A" 1 1 180 720 0 9 12 15 18 19 0 0
"More One Night" "Removed" 1 1 123 123 123 3 5 8 10 12 0 0
"Mousou zei" "Removed" 1 0 134 134 134 2 5 9 11 NA 0 0
"Neutrino" "A" 1 1 75 300 0 6 9 12 16 18 0 0
"New Century" "A" 1 1 98 195 0 4 9 14 17 18 0 0
"Night of knights" "A" 1 1 180 180 180 1 7 11 15 16 0 0
"Nou shou sakuretsu girl" "Removed" 1 1 155 157 155 3 6 10 12 14 0 0
"Oboro" "A" 1 1 149 149 149 3 6 8 11 13 0 0
"Oboro (dj TAKA Remix)" "A" 1 1 149 149 149 3 5 8 12 16 0 0
"Onegai darling" "A" 1 0 180 180 180 1 3 8 11 NA 0 0
"OurMemories" "A" 1 1 140 140 140 3 6 9 12 11 0 0
"out of focus" "A" 1 1 84 167 0 3 6 12 15 16 0 0
"Plain Asia -PHQ remix-" "A" 1 0 182 182 182 5 7 10 13 NA 0 0
"Poochie" "A" 1 0 110 220 0 5 8 12 16 NA 0 0
"POSSESSION (20th Anniversary Mix)" "A" 1 1 190 380 0 8 11 14 16 18 0 0
"Prey" "A" 1 1 210 210 210 5 11 15 18 18 0 0
"Puberty Dysthymia" "A" 1 0 67 210 0 4 8 13 17 NA 0 0
"Pursuer" "A" 1 0 75 300 0 3 7 14 17 NA 0 0
"Reach The Sky, Without you" "A" 1 0 48 190 0 7 10 14 17 NA 0 0
"Rejoin" "A" 1 0 135 135 135 2 6 10 13 NA 0 0
"Renai kansoku" "A" 1 0 188 188 188 3 7 10 12 NA 0 0
"Rinnetensei" "Removed" 1 1 196 196 196 3 7 11 13 16 0 0
"RISING FIRE HAWK" "A" 1 1 157 157 157 3 6 11 15 17 0 0
"Rokuchounen to ichiya monogatari" "Removed" 1 1 186 186 186 4 5 9 12 16 0 0
"Role-playing game" "A" 1 0 162 162 162 2 5 10 14 NA 0 0
"Ronron e rairairai!" "A" 1 0 156 156 156 3 6 10 12 NA 0 0
"Roshin yuukai" "A" 1 0 165 165 165 2 6 10 12 NA 0 0
"S!ck" "A" 1 0 88 177 0 5 8 12 16 NA 0 0
"Sakura Reflection" "A" 1 0 181 181 181 4 8 10 15 NA 0 0
"Sayonara trip ~Natsuhi EDM edition~" "A" 1 0 135 135 135 3 4 9 12 NA 0 0
"Schrodinger no neko" "A" 1 1 187 187 187 6 9 12 15 18 0 0
"Seiza ga koishita shunkan wo" "A" 1 0 186 186 186 2 7 9 12 NA 0 0
"Sennen no kotowari" "A" 1 0 153 153 153 3 6 9 12 NA 0 0
"Sephirot" "A" 1 0 154 154 154 3 6 10 12 NA 0 0
"Shakariki relation" "A" 1 0 167 167 167 3 6 9 11 NA 0 0
"Shiawase ni nareru kakushi command ga arurashii" "A" 1 0 142 142 142 2 6 10 13 NA 0 0
"SHION" "A" 1 0 177 179 177 4 7 10 13 NA 0 0
"Show me your moves" "A" 1 1 155 155 155 3 5 8 11 14 0 0
"Shunpuu blowing wind" "A" 1 0 80 160 0 2 6 10 15 NA 0 0
"Shut Up and Dance" "Removed" 1 0 128 128 128 2 5 8 11 NA 0 0
"siberite" "A" 1 0 128 128 128 2 5 10 13 NA 0 0
"SLoWMoTIoN" "Removed" 1 0 160 160 160 3 5 9 12 NA 0 0
"Smiling Passion" "A" 1 0 187 187 187 2 7 10 12 NA 0 0
"Sora e no katamichi kippu" "A" 1 0 88 175 0 3 7 10 13 NA 0 0
"Special One" "A" 1 0 128 128 128 2 5 8 11 NA 0 0
"Star Trail" "A" 1 0 74 148 0 2 5 9 13 NA 0 0
"Start a New Day" "A" 1 1 168 168 168 3 6 11 15 16 0 0
"STERLING SILVER" "A" 1 0 174 175 174 4 6 10 13 NA 0 0
"STERLING SILVER (U1 overground mix)" "A" 1 0 185 185 185 4 7 11 14 NA 0 0
"Strawberry Chu Chu" "A" 1 0 137 138 137 2 7 11 13 NA 0 0
"StrayedCatz" "A" 1 0 114 152 0 4 7 11 13 NA 0 0
"SUN2 SUMMER STEP!" "A" 1 0 170 170 170 1 3 8 11 NA 0 0
"SUPER SUMMER SALE" "A" 1 0 155 155 155 2 8 12 15 NA 0 0
"Tatakae! Dadandarn V" "A" 1 0 174 176 174 3 6 9 13 NA 0 0
"TECH-NOID" "A" 1 0 146 146 146 2 5 9 12 NA 0 0
"The Night Away (MK Remix)" "A" 1 0 160 160 160 3 5 9 12 NA 0 0
"Time Of Our Lives" "Removed" 1 0 124 124 124 2 5 9 11 NA 0 0
"Towards The TOWER" "A" 1 0 132 132 132 2 5 9 12 NA 0 0
"Triple Counter" "A" 1 0 216 216 216 7 11 14 17 NA 0 0
"Twin memories W" "A" 1 0 160 160 160 2 6 9 11 NA 0 0
"Vanquish The Ghost" "A" 1 0 78 310 0 3 8 12 16 NA 0 0
"Wake Me Up" "Removed" 1 0 123 129 124 3 5 9 12 NA 0 0
"Yeah! Yeah!" "A" 1 0 150 150 150 2 6 9 12 NA 0 0
"Yi-er fanclub" "A" 1 0 145 145 145 1 4 8 12 NA 0 0
"Youkoso Japari Park e" "Removed" 1 1 170 170 170 3 6 10 14 12 0 0
"ZEPHYRANTHES" "A" 1 0 180 180 180 3 7 11 15 NA 0 0
"50th Memorial Songs -Beginning Story-" "A20" 1 0 135 135 135 2 5 10 14 NA 0 0
"50th Memorial Songs -Flagship medley-" "A20" 1 0 135 175 0 3 7 9 12 NA 0 0
"50th Memorial Songs -futari no toki ~under the cherry blossoms~-" "A20" 1 0 160 160 160 3 7 9 12 NA 0 0
"50th Memorial Songs -The BEMANI History-" "A20" 1 0 136 136 136 2 5 9 13 NA 0 0
"Ace out" "A20" 1 1 135 145 0 3 5 9 14 14 0 0
"Afterimage d'automne" "A20" 1 0 232 232 232 4 8 11 14 NA 0 0
"Alone" "A20" 1 0 142 142 142 2 5 9 12 NA 0 0
"ALPACORE" "A20" 1 1 175 175 175 4 9 12 16 17 0 0
"Avenger" "A20" 1 1 100 400 0 4 10 14 17 18 0 0
"Baby step" "A20" 1 0 200 200 200 4 7 9 12 NA 0 0
"Bi" "A20" 1 1 169 169 169 5 9 12 17 18 0 0
"BLACK JACKAL" "A20" 1 0 150 150 150 3 7 11 15 NA 0 0
"BLSTR" "A20" 1 0 160 160 160 3 9 12 16 NA 0 0
"Bounce Trippy" "A20" 1 0 185 185 185 4 8 11 14 NA 0 0
"BUTTERFLY (20th Anniversary Mix)" "A20" 1 1 140 140 140 3 6 9 12 16 0 0
"CARTOON HEROES (20th Anniversary Mix)" "A20" 1 1 170 170 170 4 9 14 16 18 0 0
"Clarity" "A20" 1 0 128 128 128 2 4 7 9 NA 0 0
"Crazy Shuffle" "A20" 1 0 128 128 128 2 5 10 13 NA 0 0
"CROSS" "A20" 1 0 150 150 150 1 5 10 13 NA 0 0
"CyberConnect" "A20" 1 1 150 150 150 2 7 11 15 17 0 0
"Dead Heat" "A20" 1 0 177 177 177 4 6 10 14 NA 0 0
"DIGITAL LUV" "A20" 1 0 154 154 154 2 5 9 12 NA 0 0
"District of the Shadows" "A20" 1 0 150 150 150 3 6 12 16 NA 0 0
"Dokidoki Valentine" "A20" 1 0 169 169 169 3 6 9 12 NA 0 0
"Dokusenyoku" "Removed" 1 0 117 117 117 2 5 8 11 NA 0 0
"DOWNER & UPPER" "A20" 1 1 140 140 140 3 6 9 13 10 0 0
"Drop The Bounce" "A20" 1 0 75 150 0 3 7 10 15 NA 0 0
"ENDLESS" "A20" 1 0 150 150 150 2 6 9 13 NA 0 0
"F4SH10N" "A20" 1 0 140 140 140 2 6 10 14 NA 0 0
"Firestorm" "A20" 1 1 177 177 177 5 8 13 16 16 0 0
"Get On Da Floor" "A20" 1 0 140 140 140 2 5 8 11 NA 0 0
"Give Me" "A20" 1 1 174 174 174 3 7 12 15 16 0 0
"Glitch Angel" "A20" 1 1 165 165 165 5 8 13 17 18 0 0
"Golden Arrow" "A20" 1 1 170 170 170 4 8 12 16 17 0 0
"Haunted maid lunch" "A20" 1 1 188 188 188 4 7 11 15 17 0 0
"HAVE YOU NEVER BEEN MELLOW (20th Anniversary Mix)" "A20" 1 1 130 130 130 2 4 7 11 17 0 0
"Helios" "A20" 1 0 182 182 182 4 8 12 16 NA 0 0
"Hikari eureka" "A20" 1 0 140 140 140 2 5 8 11 NA 0 0
"Hoshikuzu no yo hate" "A20" 1 0 174 174 174 4 8 12 15 NA 0 0
"Hunny Bunny" "A20" 1 0 160 160 160 2 6 10 15 NA 0 0
"I'm an Albatraoz" "A20" 1 0 128 128 128 1 4 7 11 NA 0 0
"I Love You" "A20" 1 0 170 170 170 4 8 13 16 NA 0 0
"IRON HEART" "A20" 1 0 155 155 155 2 7 10 14 NA 0 0
"Kakumei passionate" "A20" 1 0 194 194 194 3 6 10 13 NA 0 0
"Kusare gedou to chocolate" "Removed" 1 1 260 260 260 3 8 13 15 17 0 0
"Lachryma (Re-Queen'M)" "A20" 1 1 236 236 236 5 9 14 18 19 0 0
"LEVEL UP" "A20" 1 0 180 180 180 4 7 10 13 NA 0 0
"Liar dance" "Removed" 1 0 200 200 200 4 6 9 13 NA 0 0
"LONG TRAIN RUNNIN' (20th Anniversary Mix)" "A20" 1 1 130 130 130 3 6 9 12 15 0 0
"Love kira splash" "A20" 1 0 152 152 152 2 6 10 14 NA 0 0
"Midnight WAR" "A20" 1 0 156 156 156 3 7 11 14 NA 0 0
"Mikansei no jouki kudou otome (DDR Edition)" "A20" 1 0 85 170 0 5 9 13 17 NA 0 0
"Mirai (da) FUTURE" "A20" 1 0 172 172 172 2 7 10 15 NA 0 0
"Mousou kanshou daishou renmei" "Removed" 1 0 110 110 110 2 4 8 12 NA 0 0
"Mythomane" "A20" 1 0 140 180 0 3 6 10 13 NA 0 0
"Netsujou no zapadeado" "A20" 1 0 136 136 136 2 5 9 13 NA 0 0
"Neverland" "A20" 1 0 160 160 160 4 8 12 15 NA 0 0
"New Era" "A20" 1 1 30 240 0 8 11 15 17 18 0 0
"New Rules" "A20" 1 0 116 116 116 2 5 7 10 NA 0 0
"Night of Knights (Ryu Remix)" "A20" 1 0 182 182 182 4 8 13 16 NA 0 0
"No Tears Left to Cry" "A20" 1 0 97 127 0 2 5 7 10 NA 0 0
"Oh my! lovely! sweety! darling!" "A20" 1 0 170 170 170 3 7 12 15 NA 0 0
"ORCA" "A20" 1 0 39 310 0 7 9 14 17 NA 0 0
"Our Soul" "A20" 1 1 150 150 150 3 6 8 11 15 0 0
"OVERSOUL" "A20" 1 1 155 156 155 3 6 12 15 17 0 0
"Party Rock Anthem" "A20" 1 0 130 130 130 2 5 8 11 NA 0 0
"Play Hard" "A20" 1 0 130 130 130 2 5 9 12 NA 0 0
"Procyon" "A20" 1 0 160 160 160 2 6 11 15 NA 0 0
"Rampage Hero" "A20" 1 1 175 175 175 4 9 12 16 17 0 0
"Ranker killer girl" "A20" 1 0 200 200 200 4 8 13 17 NA 0 0
"Re-GENERATION" "A20" 1 0 176 176 176 3 6 11 15 NA 0 0
"Reiwa" "Removed" 1 1 142 142 142 3 4 7 10 18 0 0
"Right Time Right Way" "A20" 1 0 174 174 174 4 7 11 14 NA 0 0
"Saishou sanbai kanzensuu" "A20" 1 0 55 440 0 5 11 14 17 NA 0 0
"Saishuu kichiku imouto Flandre-S" "A20" 1 0 200 202 200 4 9 13 16 NA 0 0
"Seta Para Cima" "A20" 1 0 140 140 140 3 5 11 13 NA 0 0
"Silly Love" "A20" 1 0 124 154 0 4 7 11 14 NA 0 0
"Six String Proof" "A20" 1 0 130 130 130 2 7 12 14 NA 0 0
"SKY HIGH (20th Anniversary Mix)" "A20" 1 1 145 145 145 2 5 9 12 17 0 0
"Skywalking" "A20" 1 0 90 180 0 4 7 11 15 NA 0 0
"Small Steps" "A20" 1 0 106 106 106 1 4 7 10 NA 0 0
"SODA GALAXY" "A20" 1 0 178 178 178 3 6 9 12 NA 0 0
"Something Just Like This (Alesso Remix)" "A20" 1 0 120 120 120 2 4 8 10 NA 0 0
"Splash Gold" "A20" 1 0 75 300 0 6 10 13 16 NA 0 0
"Starlight in the Snow" "A20" 1 1 150 150 150 4 7 11 14 16 0 0
"Starry Sky" "A20" 1 0 150 150 150 2 6 9 12 NA 0 0
"Stay 4 Ever" "A20" 1 0 140 140 140 2 5 9 11 NA 0 0
"Sukina koto dakede ii desu" "Removed" 1 0 140 140 140 3 5 9 13 NA 0 0
"SWEET HOME PARTY" "A20" 1 0 70 180 0 5 8 12 16 NA 0 0
"Sweets wa tomaranai" "A20" 1 0 204 204 204 2 4 9 13 NA 0 0
"The History of the Future" "A20" 1 0 100 200 0 5 9 14 17 NA 0 0
"The Light" "Removed" 1 0 160 160 160 2 5 9 13 NA 0 0
"The World Ends Now" "A20" 1 1 200 200 200 4 9 12 16 18 0 0
"This Beat Is" "A20" 1 0 128 128 128 1 4 7 11 NA 0 0
"Tiger rampage" "Removed" 1 1 150 150 150 2 5 9 13 17 0 0
"Toy Box Factory" "A20" 1 0 148 148 148 3 7 11 15 NA 0 0
"toy boxer" "A20" 1 0 190 190 190 4 9 12 16 NA 0 0
"Trill auf G" "A20" 1 0 188 188 188 4 8 12 16 NA 0 0
"Une mage blanche" "A20" 1 0 193 193 193 4 7 10 13 NA 0 0
"voltississimo" "A20" 1 0 112 225 0 5 9 13 17 NA 0 0
"Waiting" "A20" 1 0 180 180 180 3 6 10 13 NA 0 0
"1998 (Sparky 2006)" "A20 Plus" 1 0 150 150 150 2 6 11 14 NA 0 0
"actualization of self (weaponized)" "A20 Plus" 1 0 175 175 175 4 9 13 16 NA 0 0
"Aftermath" "A20 Plus" 1 0 200 200 200 5 9 12 16 NA 0 0
"AI" "A20 Plus" 1 0 190 190 190 5 9 12 16 NA 0 0
"Alice side castling" "A20 Plus" 1 0 115 115 115 2 5 8 10 NA 0 0
"ANTI ANTHEM" "A20 Plus" 1 0 128 700 0 5 9 13 15 NA 0 0
"Ao ga kieru toki" "A20 Plus" 1 0 162 162 162 3 6 9 12 NA 0 0
"B4U (The Acolyte mix)" "A20 Plus" 1 0 155 155 155 2 4 9 13 NA 0 0
"Bang Pad(Werk Mix)" "A20 Plus" 1 0 160 160 160 3 6 9 13 NA 0 0
"Better Than Me" "A20 Plus" 1 0 162 162 162 4 8 12 15 NA 0 0
"BITTER CHOCOLATE STRIKER" "A20 Plus" 1 1 165 165 165 3 6 10 14 17 0 0
"BLAKE" "A20 Plus" 1 0 200 200 200 3 7 11 14 NA 0 0
"BRIDAL FESTIVAL !!!" "A20 Plus" 1 0 138 138 138 2 5 10 13 NA 0 0
"City Never Sleeps" "A20 Plus" 1 0 178 178 178 4 7 12 15 NA 0 0
"Come Back To Me" "A20 Plus" 1 0 172 172 172 3 7 11 14 NA 0 0
"CONNECT-" "A20 Plus" 1 0 150 150 150 2 5 10 13 NA 0 0
"Crazy Hot" "A20 Plus" 1 0 162 162 162 3 6 10 13 NA 0 0
"DANCERUSH STARDOM ANTHEM" "A20 Plus" 1 0 130 130 130 2 5 8 11 NA 0 0
"DDR TAGMIX -LAST DanceR-" "A20 Plus" 1 0 50 800 0 6 11 14 17 NA 0 0
"DEADLOCK -Out Of Reach-" "A20 Plus" 1 0 205 205 205 5 9 13 17 NA 0 0
"DeStRuCtIvE FoRcE" "A20 Plus" 1 0 88 177 0 2 6 9 13 NA 0 0
"DIGITALIZER" "A20 Plus" 1 1 180 180 180 4 8 12 17 18 0 0
"Draw the Savage" "A20 Plus" 1 1 134 134 134 2 6 10 14 16 0 0
"Evans" "A20 Plus" 1 0 185 370 0 5 10 14 17 NA 0 0
"Feidie" "A20 Plus" 1 0 150 150 150 2 6 8 10 NA 0 0
"GHOST KINGDOM" "A20 Plus" 1 0 118 118 118 2 6 10 14 NA 0 0
"Globe Glitter" "A20 Plus" 1 0 190 190 190 4 8 11 15 NA 1 0
"Going Hypersonic" "A20 Plus" 1 1 156 156 156 4 7 12 15 17 0 0
"Good Looking" "A20 Plus" 1 0 170 170 170 3 9 12 15 NA 0 0
"GUILTY DIAMONDS" "A20 Plus" 1 0 84 168 0 3 6 10 14 NA 0 0
"Hana wa oritashi kozue wa takashi" "A20 Plus" 1 0 215 215 215 2 5 9 12 NA 0 0
"Hangyaku no disparate" "A20 Plus" 1 0 194 194 194 3 6 10 13 NA 0 0
"HARD BRAIN" "A20 Plus" 1 0 155 155 155 3 6 10 15 NA 0 0
"Haru wo tsugeru" "A20 Plus" 1 0 120 120 120 2 4 8 10 NA 0 0
"Hella Deep" "A20 Plus" 1 0 72 576 0 3 7 10 14 NA 0 0
"High & Low" "A20 Plus" 1 0 210 210 210 4 8 12 16 NA 0 0
"Hoshi no tsukurikata" "A20 Plus" 1 0 180 180 180 3 6 10 14 NA 0 0
"Hyper Bomb" "A20 Plus" 1 0 160 160 160 3 7 11 15 NA 0 0
"HYPERDRIVE" "A20 Plus" 1 0 150 150 150 3 6 9 12 NA 0 0
"HyperTwist" "A20 Plus" 1 1 190 190 190 5 8 12 15 18 0 0
"I'm Flying Away" "A20 Plus" 1 0 180 180 180 2 5 8 12 NA 0 0
"I believe what you said" "A20 Plus" 1 0 138 138 138 2 4 8 12 NA 0 0
"I Want To Do This Keep" "A20 Plus" 1 0 150 150 150 3 7 12 15 NA 0 0
"If" "A20 Plus" 1 0 170 170 170 4 8 12 15 NA 0 0
"In the past" "A20 Plus" 1 0 81 162 0 4 7 12 16 NA 0 0
"Inner Spirit -GIGA HiTECH MIX-" "A20 Plus" 1 0 150 150 150 3 7 11 15 NA 0 0
"Innocent bible" "A20 Plus" 1 0 105 105 105 1 4 7 10 NA 0 0
"Itetsu no pride" "A20 Plus" 1 0 200 200 200 4 7 10 13 NA 1 0
"jet coaster girl" "A20 Plus" 1 0 177 177 177 3 6 11 13 NA 0 0
"Jetcoaster Windy" "A20 Plus" 1 0 268 268 268 3 7 12 15 NA 0 0
"Jucunda Memoria" "A20 Plus" 1 0 48 290 0 5 10 14 17 NA 0 0
"Kanata no Reflesia" "A20 Plus" 1 0 180 180 180 3 6 10 15 NA 0 0
"Khorosho! Onigiri circus dan" "A20 Plus" 1 0 185 185 185 3 7 11 14 NA 0 0
