"song" "mix" "expert" "chal" "bpm_min" "bpm_max" "static_bpm" "gSP" "BSP" "DSP" "ESP" "CSP" "event" "gold"
"MAXX UNLIMITED" "7thMIX MAX2" 1 0 140 320 0 5 10 13 16 NA 0 0
"MY SUMMER LOVE(TOMMY'S SMILE MIX)" "7thMIX MAX2" 0 1 100 100 100 NA NA NA NA 12 0 0
"rain of sorrow" "7thMIX MAX2" 1 0 140 140 140 3 3 9 12 NA 0 0
"Secret Rendez-vous" "7thMIX MAX2" 1 0 98 98 98 3 4 7 12 NA 0 0
"SEXY PLANET(FROM NONSTOP MEGAMIX)" "7thMIX MAX2" 0 1 180 180 180 NA NA NA NA 10 0 0
"Silent Hill (3rd christmas mix)" "7thMIX MAX2" 0 1 125 125 125 NA NA NA NA 10 0 0
"STILL IN MY HEART (MOMO MIX)" "7thMIX MAX2" 0 1 85 171 0 NA NA NA NA 11 0 0
"SUPER STAR(FROM NONSTOP MEGAMIX)" "7thMIX MAX2" 0 1 128 128 128 NA NA NA NA 10 0 0
"Sweet Sweet Love Magic" "7thMIX MAX2" 1 0 180 180 180 4 5 9 13 NA 0 0
"TSUGARU" "7thMIX MAX2" 1 0 95 165 0 3 5 9 12 NA 0 0
"TSUGARU(APPLE MIX)" "7thMIX MAX2" 0 1 81 165 0 NA NA NA NA 11 0 0
"WILD RUSH(FROM NONSTOP MEGAMIX)" "7thMIX MAX2" 0 1 125 125 125 NA NA NA NA 9 0 0
"1998" "8thMIX EXTREME" 1 0 150 150 150 4 4 6 10 NA 0 0
"321STARS" "8thMIX EXTREME" 1 0 192 193 192 4 5 9 11 NA 0 0
"A" "8thMIX EXTREME" 1 1 93 191 0 4 5 8 11 12 0 0
"Across the nightmare" "8thMIX EXTREME" 1 1 300 300 300 7 8 10 12 13 0 0
"air" "8thMIX EXTREME" 1 0 130 130 130 3 5 7 10 NA 0 0
"AM-3P -303 BASS MIX-" "8thMIX EXTREME" 1 0 130 130 130 4 4 9 10 NA 0 0
